season,team_a,team_b,score_a,score_b,neutral_site,round_name,game_date,home_team,home_edge_a,rest_days_a,rest_days_b,market_prob_a,market_spread_a,moneyline_a,moneyline_b
2024,Sam Houston,Utah Valley,73,79,0,Regular Season,2023-11-10,Sam Houston,1,2,2,,,,
2024,Florida St,Kennesaw St,94,67,0,Regular Season,2023-11-10,Florida St,1,,1,,,,
2024,North Alabama,Alabama A&M,83,67,0,Regular Season,2023-11-10,North Alabama,1,2,,,,,
2024,Coppin St,Towson,49,70,0,Regular Season,2023-11-10,Coppin St,1,2,2,,,,
2024,MTSU,SF Austin,67,62,0,Regular Season,2023-11-10,MTSU,1,2,3,,,,
2024,Purdue FW,Andrews Univer,130,34,0,Regular Season,2023-11-10,Purdue FW,1,1,,,,,
2024,Elon,ETSU,79,76,0,Regular Season,2023-11-10,Elon,1,2,2,,,,
2024,San Francisco,Saint Francis,84,52,0,Regular Season,2023-11-10,San Francisco,1,2,2,,,,
2024,Wagner,Molloy,83,48,0,Regular Season,2023-11-10,Wagner,1,2,,,,,
2024,NC Central,VA Lynchburg,107,54,0,Regular Season,2023-11-10,NC Central,1,2,,,,,
